기준년월,시도명,시군구명,성별코드,사용금액
2016-05,경기도,양평군,M,6733467978
2016-05,경기도,용인시 기흥구,F,
2016-05,경기도,용인시 기흥구,M,
2016-05,서울특별시,강동구,M,40950
2016-05,서울특별시,구로구,M,591041961
2016-05,서울특별시,서초구,M,120888950
2016-05,서울특별시,송파구,F,21134750
2016-05,충청북도,음성군,M,0
2016-05,충청남도,아산시,M,11044679
2016-05,서울특별시,은평구,F,10941840
2016-05,서울특별시,마포구,M,250051547
2016-05,서울특별시,마포구,F,86798366
2016-05,서울특별시,노원구,F,119679587
2016-05,서울특별시,강서구,M,4724705613
2016-05,경기도,평택시,F,
2016-05,경기도,의왕시,M,
2016-05,경기도,용인시 처인구,M,
2016-05,경기도,양평군,F,3916824302
2016-05,경기도,수원시 팔달구,M,
2016-05,경기도,성남시 분당구,M,
2016-05,경기도,성남시 분당구,F,
2016-05,경기도,동두천시,F,4471450948
2016-05,경기도,남양주시,M,
2016-05,경기도,구리시,M,
2016-05,경기도,광주시,M,
2016-05,경기도,고양시 일산서구,M,
2016-05,강원도,춘천시,M,56765800
2016-05,충청남도,아산시,F,4466690
2016-05,인천광역시,서구,F,151837231
2016-05,인천광역시,부평구,F,22014629
2016-05,인천광역시,계양구,M,1264673
2016-05,인천광역시,계양구,F,13590850
2016-05,서울특별시,은평구,M,49383880
2016-05,경기도,하남시,M,
2016-05,경기도,포천시,F,8026166071
2016-05,경기도,의왕시,F,9509003481
2016-05,경기도,연천군,M,5313463874
2016-05,경기도,여주시,M,
2016-05,경기도,안산시 상록구,M,
2016-05,경기도,안산시 단원구,F,
2016-05,경기도,수원시 권선구,F,
2016-05,경기도,성남시 중원구,M,
2016-05,경기도,김포시,F,
2016-05,경기도,군포시,M,
2016-05,경기도,군포시,F,
2016-05,경기도,고양시 일산동구,F,
2016-05,경기도,고양시 덕양구,M,
2016-05,경기도,가평군,F,4675658483
2016-05,경기도,연천군,F,1021456527
2016-05,경기도,용인시 처인구,F,
2016-05,경기도,이천시,F,
2016-05,경기도,이천시,M,
2016-05,경기도,평택시,M,
2016-05,경기도,하남시,F,9474701018
2016-05,서울특별시,노원구,M,221637539
2016-05,인천광역시,서구,M,162974962
2016-05,경기도,고양시 일산서구,F,
2016-05,경기도,광주시,F,
2016-05,경기도,수원시 장안구,M,
2016-05,경기도,구리시,F,
2016-05,경기도,김포시,M,
2016-05,경기도,부천시,F,
2016-05,경기도,시흥시,M,
2016-05,경기도,안산시 상록구,F,
2016-05,경기도,안성시,M,
2016-05,경기도,오산시,M,
2016-05,경기도,포천시,M,
2016-05,경기도,화성시,F,
2016-05,서울특별시,강서구,F,5183181922
2016-05,서울특별시,구로구,F,197204335
2016-05,서울특별시,중랑구,F,102189064
2016-05,충청북도,음성군,F,0
2016-05,경기도,고양시 일산동구,M,
2016-05,경기도,성남시 중원구,F,
2016-05,경기도,수원시 팔달구,F,
2016-05,경기도,용인시 수지구,M,
2016-05,경기도,파주시,M,
2016-05,경기도,화성시,M,
2016-05,서울특별시,강동구,F,0
2016-05,서울특별시,금천구,M,33926620
2016-05,서울특별시,중랑구,M,248830919
2016-05,인천광역시,부평구,M,46718809
2016-05,경기도,과천시,F,5285334673
2016-05,경기도,광명시,F,
2016-05,경기도,성남시 수정구,F,
2016-05,경기도,수원시 영통구,M,
2016-05,경기도,안산시 단원구,M,
2016-05,경기도,안양시 동안구,M,
2016-05,경기도,안양시 만안구,M,
2016-05,경기도,양주시,F,9915333810
2016-05,경기도,양주시,M,
2016-05,경기도,의정부시,F,
2016-05,경기도,의정부시,M,
2016-05,경기도,파주시,F,
2016-05,서울특별시,금천구,F,57616195
2016-05,서울특별시,도봉구,M,61654902
2016-05,서울특별시,서초구,F,33759271
2016-05,서울특별시,송파구,M,23583560
2016-05,서울특별시,양천구,M,0
2016-07,충청남도,아산시,M,9553294
2016-07,인천광역시,계양구,M,2693372
2016-07,인천광역시,계양구,F,202950
2016-07,서울특별시,서초구,M,113925577
2016-07,서울특별시,도봉구,F,32839497
2016-07,경기도,평택시,F,
2016-07,경기도,파주시,F,
2016-07,경기도,용인시 기흥구,M,
2016-07,경기도,안양시 만안구,M,
2016-07,경기도,안양시 만안구,F,
2016-07,경기도,안산시 단원구,F,
2016-07,경기도,수원시 장안구,M,
2016-07,경기도,부천시,M,
2016-07,강원도,춘천시,M,56659130
2016-07,충청북도,음성군,M,0
2016-07,충청남도,아산시,F,4158671
2016-07,인천광역시,서구,F,147744669
2016-07,인천광역시,부평구,F,18105305
2016-07,서울특별시,금천구,M,36319932
2016-07,서울특별시,강동구,M,90200
2016-07,경기도,의정부시,M,
2016-07,경기도,의정부시,F,
2016-07,경기도,여주시,M,
2016-07,경기도,안산시 상록구,M,
2016-07,경기도,수원시 팔달구,F,
2016-07,경기도,수원시 권선구,M,
2016-07,경기도,성남시 수정구,M,
2016-07,경기도,남양주시,M,
2016-07,경기도,김포시,M,
2016-07,경기도,고양시 일산동구,F,
2016-07,경기도,성남시 중원구,M,
2016-07,경기도,성남시 중원구,F,
2016-07,경기도,성남시 분당구,M,
2016-07,경기도,광주시,F,
2016-07,경기도,광명시,M,
2016-07,경기도,가평군,F,6265338498
2016-07,충청북도,음성군,F,0
2016-07,인천광역시,부평구,M,36193201
2016-07,서울특별시,송파구,F,20421280
2016-07,서울특별시,구로구,F,216422507
2016-07,서울특별시,강서구,F,3759745616
2016-07,경기도,화성시,F,
2016-07,경기도,파주시,M,
2016-07,경기도,의왕시,M,
2016-07,경기도,의왕시,F,9479046571
2016-07,경기도,용인시 수지구,M,
2016-07,경기도,안성시,M,
2016-07,경기도,수원시 장안구,F,
2016-07,서울특별시,서초구,F,36452255
2016-07,서울특별시,노원구,M,231680301
2016-07,서울특별시,노원구,F,128981021
2016-07,서울특별시,금천구,F,39742120
2016-07,서울특별시,강서구,M,3519581978
2016-07,경기도,하남시,M,
2016-07,경기도,오산시,F,
2016-07,경기도,양평군,M,7338982315
2016-07,경기도,수원시 영통구,M,
2016-07,경기도,수원시 권선구,F,
2016-07,경기도,과천시,M,4867448024
2016-07,경기도,고양시 일산서구,F,
2016-07,경기도,고양시 일산동구,M,
2016-07,경기도,가평군,M,
2016-07,경기도,수원시 영통구,F,
2016-07,경기도,성남시 수정구,F,
2016-07,경기도,남양주시,F,
2016-07,경기도,구리시,F,
2016-07,서울특별시,중랑구,F,88482263
2016-07,서울특별시,은평구,M,43585993
2016-07,서울특별시,은평구,F,8344853
2016-07,서울특별시,양천구,M,234520
2016-07,경기도,화성시,M,
2016-07,경기도,포천시,M,
2016-07,경기도,용인시 처인구,M,
2016-07,경기도,용인시 처인구,F,
2016-07,경기도,연천군,F,951359659
2016-07,경기도,안양시 동안구,F,
2016-07,경기도,안성시,F,
2016-07,경기도,안산시 상록구,F,
2016-07,서울특별시,양천구,F,2751100
2016-07,서울특별시,송파구,M,24793725
2016-07,서울특별시,마포구,M,242670891
2016-07,서울특별시,마포구,F,88499067
2016-07,서울특별시,도봉구,M,58854679
2016-07,서울특별시,강동구,F,0
2016-07,경기도,하남시,F,9551988902
2016-07,경기도,이천시,F,
2016-07,경기도,용인시 기흥구,F,
2016-07,경기도,안산시 단원구,M,
2016-07,경기도,수원시 팔달구,M,
2016-07,경기도,부천시,F,
2016-07,경기도,동두천시,F,4366419252
2016-07,경기도,광주시,M,
2016-07,서울특별시,구로구,M,591137877
2016-07,경기도,포천시,F,7711355818
2016-07,경기도,평택시,M,
2016-07,경기도,이천시,M,
2016-07,경기도,용인시 수지구,F,
2016-07,경기도,오산시,M,
2016-07,경기도,여주시,F,
2016-07,경기도,양평군,F,4275047247
2016-07,경기도,양주시,M,
2016-07,경기도,성남시 분당구,F,
2016-07,경기도,군포시,M,
2016-07,경기도,구리시,M,
2016-07,경기도,과천시,F,4104463659
2016-07,경기도,고양시 일산서구,M,
2016-07,경기도,고양시 덕양구,M,
2016-07,인천광역시,서구,M,153716576
2016-07,서울특별시,중랑구,M,226134426
2016-07,경기도,연천군,M,5005503868
2016-07,경기도,양주시,F,
2016-07,경기도,안양시 동안구,M,
2016-07,경기도,시흥시,M,
2016-07,경기도,시흥시,F,
2016-07,경기도,동두천시,M,7214397358
2016-07,경기도,김포시,F,
2016-07,경기도,군포시,F,
2016-07,경기도,광명시,F,
2016-07,경기도,고양시 덕양구,F,
2016-07,강원도,춘천시,F,35408010
2016-11,서울특별시,은평구,M,40863271
2016-11,서울특별시,송파구,F,29983486
2016-11,경기도,포천시,F,7770564110
2016-11,경기도,이천시,F,
2016-11,경기도,여주시,M,
2016-11,경기도,안성시,M,
2016-11,경기도,시흥시,M,
2016-11,경기도,부천시,M,
2016-11,경기도,군포시,F,
2016-11,경기도,광주시,M,
2016-11,경기도,안양시 동안구,M,
2016-11,경기도,수원시 팔달구,M,
2016-11,경기도,성남시 중원구,M,
2016-11,경기도,동두천시,M,6821688787
2016-11,경기도,구리시,M,
2016-11,경기도,구리시,F,
2016-11,서울특별시,구로구,F,257076023
2016-11,인천광역시,계양구,F,922000
2016-11,서울특별시,구로구,M,656359634
2016-11,경기도,화성시,F,
2016-11,경기도,하남시,M,
2016-11,경기도,하남시,F,
2016-11,경기도,의왕시,F,9351226462
2016-11,경기도,용인시 수지구,F,
2016-11,인천광역시,서구,F,157581048
2016-11,서울특별시,중랑구,M,237795583
2016-11,서울특별시,서초구,M,125872639
2016-11,서울특별시,서초구,F,40819107
2016-11,서울특별시,도봉구,F,27519026
2016-11,경기도,화성시,M,
2016-11,경기도,포천시,M,
2016-11,경기도,용인시 수지구,M,
2016-11,경기도,오산시,M,
2016-11,경기도,안양시 동안구,F,
2016-11,경기도,안산시 단원구,M,
2016-11,경기도,시흥시,F,
2016-11,경기도,동두천시,F,4453364117
2016-11,경기도,남양주시,F,
2016-11,경기도,고양시 일산서구,F,
2016-11,강원도,춘천시,M,28575085
2016-11,경기도,양평군,F,3617028806
2016-11,경기도,안양시 만안구,F,
2016-11,경기도,수원시 영통구,M,
2016-11,경기도,성남시 중원구,F,
2016-11,경기도,고양시 일산동구,F,
2016-11,경기도,고양시 덕양구,M,
2016-11,강원도,춘천시,F,21782250
2016-11,인천광역시,계양구,M,1976077
2016-11,서울특별시,은평구,F,7093407
2016-11,서울특별시,송파구,M,18429397
2016-11,서울특별시,금천구,F,52537635
2016-11,경기도,이천시,M,
2016-11,경기도,의정부시,M,
2016-11,경기도,의왕시,M,
2016-11,경기도,용인시 처인구,F,
2016-11,경기도,연천군,M,4539114814
2016-11,경기도,용인시 기흥구,F,
2016-11,경기도,오산시,F,
2016-11,경기도,연천군,F,959862437
2016-11,경기도,여주시,F,
2016-11,경기도,양주시,F,9804007510
2016-11,경기도,안성시,F,
2016-11,경기도,안산시 단원구,F,
2016-11,경기도,수원시 권선구,M,
2016-11,경기도,부천시,F,
2016-11,경기도,군포시,M,
2016-11,경기도,과천시,M,4391303204
2016-11,경기도,가평군,M,6456429890
2016-11,서울특별시,강동구,F,0
2016-11,충청북도,음성군,M,202840
2016-11,충청북도,음성군,F,0
2016-11,경기도,평택시,F,
2016-11,경기도,파주시,M,
2016-11,인천광역시,서구,M,155852022
2016-11,서울특별시,양천구,F,2549330
2016-11,서울특별시,마포구,F,88464144
2016-11,서울특별시,노원구,F,94122462
2016-11,서울특별시,금천구,M,25871551
2016-11,경기도,용인시 처인구,M,
2016-11,경기도,양평군,M,6199219430
2016-11,경기도,안양시 만안구,M,
2016-11,경기도,안산시 상록구,M,
2016-11,경기도,수원시 장안구,F,
2016-11,경기도,수원시 권선구,F,
2016-11,경기도,성남시 수정구,F,
2016-11,경기도,성남시 분당구,F,
2016-11,경기도,광명시,F,
2016-11,경기도,고양시 일산서구,M,
2016-11,경기도,고양시 일산동구,M,
2016-11,경기도,고양시 덕양구,F,
2016-11,충청남도,아산시,M,13710463
2016-11,인천광역시,부평구,M,59613524
2016-11,인천광역시,부평구,F,93872001
2016-11,서울특별시,중랑구,F,87136676
2016-11,서울특별시,도봉구,M,64536326
2016-11,서울특별시,강서구,M,4535965096
2016-11,서울특별시,강서구,F,5142254442
2016-11,경기도,평택시,M,
2016-11,경기도,의정부시,F,
2016-11,경기도,수원시 팔달구,F,
2016-11,경기도,수원시 장안구,M,
2016-11,경기도,수원시 영통구,F,
2016-11,경기도,김포시,F,
2016-11,경기도,가평군,F,3310735966
2016-11,충청남도,아산시,F,2686616
2016-11,서울특별시,양천구,M,322700
2016-11,서울특별시,마포구,M,221723118
2016-11,서울특별시,노원구,M,184827527
2016-11,서울특별시,강동구,M,0
2016-11,경기도,파주시,F,
2016-11,경기도,용인시 기흥구,M,
2016-11,경기도,양주시,M,
2016-11,경기도,안산시 상록구,F,
2016-11,경기도,성남시 수정구,M,
2016-11,경기도,성남시 분당구,M,
2016-11,경기도,남양주시,M,
2016-11,경기도,김포시,M,
2016-11,경기도,광주시,F,
2016-11,경기도,광명시,M,
2016-11,경기도,과천시,F,3805082037
2014-05,경기도,고양시 덕양구,F,
2014-05,경기도,고양시 덕양구,M,
2014-05,경기도,고양시 일산동구,F,
2014-05,경기도,고양시 일산동구,M,
2014-05,경기도,수원시 팔달구,M,
2014-05,경기도,양평군,F,3681691169
2014-05,경기도,용인시 수지구,F,
2014-05,경기도,파주시,F,
2014-05,경기도,포천시,F,8470613594
2014-05,서울특별시,송파구,F,23610305
2014-05,인천광역시,계양구,F,1023230
2014-05,경기도,과천시,F,4764680025
2014-05,경기도,광주시,F,
2014-05,경기도,구리시,F,
2014-05,경기도,성남시 분당구,F,
2014-05,경기도,성남시 수정구,M,
2014-05,경기도,수원시 장안구,M,
2014-05,경기도,오산시,F,
2014-05,경기도,용인시 기흥구,F,
2014-05,경기도,이천시,M,
2014-05,경기도,평택시,M,
2014-05,서울특별시,구로구,M,623913449
2014-05,서울특별시,노원구,F,142937761
2014-05,서울특별시,중랑구,M,105637571
2014-05,충청남도,아산시,M,5962889
2014-05,경기도,고양시 일산서구,M,
2014-05,경기도,동두천시,M,6987871386
2014-05,경기도,부천시,F,
2014-05,경기도,부천시,M,
2014-05,경기도,수원시 영통구,F,
2014-05,경기도,수원시 장안구,F,
2014-05,경기도,시흥시,M,
2014-05,경기도,안양시 만안구,M,
2014-05,경기도,오산시,M,
2014-05,경기도,용인시 수지구,M,
2014-05,경기도,의왕시,M,
2014-05,서울특별시,마포구,F,158288611
2014-05,서울특별시,마포구,M,323416673
2014-05,서울특별시,서초구,M,83578797
2014-05,서울특별시,양천구,F,994500
2014-05,서울특별시,중랑구,F,53205343
2014-05,인천광역시,계양구,M,7408362
2014-05,강원도,춘천시,M,21613800
2014-05,경기도,가평군,F,4535632690
2014-05,경기도,가평군,M,8273533697
2014-05,경기도,광명시,M,
2014-05,경기도,군포시,F,
2014-05,경기도,안산시 단원구,F,
2014-05,경기도,안성시,M,
2014-05,경기도,양평군,M,6271738390
2014-05,경기도,연천군,M,4695178901
2014-05,경기도,의정부시,F,
2014-05,경기도,의정부시,M,
2014-05,경기도,하남시,M,
2014-05,경기도,화성시,F,
2014-05,서울특별시,강동구,M,57460
2014-05,서울특별시,도봉구,M,183774787
2014-05,인천광역시,부평구,F,3293784
2014-05,경기도,광명시,F,
2014-05,경기도,구리시,M,
2014-05,경기도,남양주시,F,
2014-05,경기도,성남시 분당구,M,
2014-05,경기도,수원시 권선구,M,
2014-05,경기도,안산시 상록구,F,
2014-05,경기도,안성시,F,
2014-05,경기도,안양시 만안구,F,
2014-05,경기도,양주시,M,
2014-05,경기도,연천군,F,845652876
2014-05,경기도,용인시 기흥구,M,
2014-05,경기도,이천시,F,
2014-05,경기도,포천시,M,
2014-05,서울특별시,강서구,M,159530919
2014-05,서울특별시,금천구,F,27832740
2014-05,서울특별시,도봉구,F,82500745
2014-05,서울특별시,양천구,M,1348100
2014-05,인천광역시,서구,M,102063413
2014-05,충청남도,아산시,F,1723800
2014-05,충청북도,음성군,F,0
2014-05,강원도,춘천시,F,20385040
2014-05,경기도,과천시,M,5053028382
2014-05,경기도,광주시,M,
2014-05,경기도,안양시 동안구,F,
2014-05,경기도,용인시 처인구,F,
2014-05,경기도,용인시 처인구,M,
2014-05,경기도,의왕시,F,9360287195
2014-05,경기도,화성시,M,
2014-05,서울특별시,강서구,F,34258647
2014-05,서울특별시,구로구,F,196435974
2014-05,서울특별시,서초구,F,30250171
2014-05,서울특별시,송파구,M,29986805
2014-05,서울특별시,은평구,F,24769238
2014-05,충청북도,음성군,M,1105000
2014-05,경기도,고양시 일산서구,F,
2014-05,경기도,군포시,M,
2014-05,경기도,김포시,F,
2014-05,경기도,동두천시,F,4340754160
2014-05,경기도,성남시 중원구,M,
2014-05,경기도,수원시 권선구,F,
2014-05,경기도,수원시 영통구,M,
2014-05,경기도,시흥시,F,
2014-05,경기도,양주시,F,8756156070
2014-05,경기도,여주시,F,
2014-05,경기도,파주시,M,
2014-05,경기도,평택시,F,
2014-05,서울특별시,강동구,F,145860
2014-05,서울특별시,금천구,M,15100930
2014-05,인천광역시,부평구,M,7498972
2014-05,인천광역시,서구,F,91173373
2014-05,경기도,김포시,M,
2014-05,경기도,남양주시,M,
2014-05,경기도,성남시 수정구,F,
2014-05,경기도,성남시 중원구,F,
2014-05,경기도,수원시 팔달구,F,
2014-05,경기도,안산시 단원구,M,
2014-05,경기도,안산시 상록구,M,
2014-05,경기도,안양시 동안구,M,
2014-05,경기도,여주시,M,
2014-05,경기도,하남시,F,8120161381
2014-05,서울특별시,노원구,M,301182557
2014-05,서울특별시,은평구,M,54637653
2016-06,경기도,수원시 팔달구,F,
2016-06,경기도,수원시 팔달구,M,
2016-06,경기도,시흥시,M,
2016-06,경기도,안양시 만안구,F,
2016-06,경기도,여주시,M,
2016-06,경기도,평택시,F,
2016-06,서울특별시,노원구,F,117385409
2016-06,서울특별시,송파구,F,23200450
2016-06,서울특별시,양천구,M,409500
2016-06,인천광역시,서구,M,148243687
2016-06,경기도,수원시 권선구,M,
2016-06,경기도,수원시 영통구,M,
2016-06,경기도,가평군,M,
2016-06,경기도,고양시 일산동구,F,
2016-06,경기도,과천시,F,4567181382
2016-06,경기도,과천시,M,5421419999
2016-06,경기도,구리시,M,
2016-06,경기도,김포시,M,
2016-06,경기도,동두천시,M,6680456041
2016-06,경기도,성남시 중원구,M,
2016-06,경기도,시흥시,F,
2016-06,경기도,용인시 처인구,F,
2016-06,경기도,의정부시,F,
2016-06,경기도,평택시,M,
2016-06,서울특별시,서초구,M,115906154
2016-06,서울특별시,마포구,M,260067189
2016-06,서울특별시,도봉구,F,32064965
2016-06,서울특별시,금천구,M,37140285
2016-06,서울특별시,강서구,M,3747190133
2016-06,경기도,화성시,F,
2016-06,경기도,이천시,M,
2016-06,경기도,이천시,F,
2016-06,경기도,용인시 수지구,M,
2016-06,경기도,오산시,M,
2016-06,경기도,여주시,F,
2016-06,경기도,안성시,F,
2016-06,경기도,안산시 상록구,M,
2016-06,경기도,수원시 영통구,F,
2016-06,경기도,수원시 권선구,F,
2016-06,경기도,남양주시,F,
2016-06,경기도,김포시,F,
2016-06,경기도,구리시,F,
2016-06,경기도,광명시,F,
2016-06,경기도,고양시 일산서구,F,
2016-06,경기도,고양시 일산동구,M,
2016-06,경기도,고양시 덕양구,M,
2016-06,경기도,가평군,F,5138535743
2016-06,충청남도,아산시,F,3995355
2016-06,인천광역시,서구,F,145647502
2016-06,서울특별시,중랑구,M,245728442
2016-06,경기도,고양시 일산서구,M,
2016-06,경기도,고양시 덕양구,F,
2016-06,강원도,춘천시,M,45409000
2016-06,서울특별시,강동구,F,0
2016-06,경기도,화성시,M,
2016-06,경기도,양주시,F,9624106929
2016-06,경기도,안양시 동안구,M,
2016-06,경기도,안산시 상록구,F,
2016-06,경기도,성남시 수정구,M,
2016-06,경기도,성남시 분당구,M,
2016-06,경기도,동두천시,F,4167811311
2016-06,경기도,광명시,M,
2016-06,경기도,하남시,F,8940416672
2016-06,경기도,오산시,F,
2016-06,경기도,양주시,M,
2016-06,경기도,안산시 단원구,F,
2016-06,경기도,수원시 장안구,F,
2016-06,경기도,성남시 중원구,F,
2016-06,경기도,광주시,M,
2016-06,인천광역시,계양구,F,11669203
2016-06,서울특별시,은평구,M,39959920
2016-06,서울특별시,서초구,F,34441953
2016-06,서울특별시,마포구,F,85658341
2016-06,서울특별시,금천구,F,46165438
2016-06,서울특별시,구로구,M,585371232
2016-06,서울특별시,강서구,F,3970209780
2016-06,인천광역시,부평구,F,22788857
2016-06,충청북도,음성군,F,0
2016-06,강원도,춘천시,F,32391450
2016-06,경기도,광주시,F,
2016-06,경기도,군포시,F,
2016-06,경기도,남양주시,M,
2016-06,경기도,성남시 수정구,F,
2016-06,경기도,수원시 장안구,M,
2016-06,경기도,안양시 만안구,M,
2016-06,경기도,양평군,F,3812733238
2016-06,경기도,양평군,M,6677176224
2016-06,경기도,용인시 기흥구,M,
2016-06,경기도,의왕시,M,
2016-06,경기도,파주시,M,
